"country","poll","unit","location_name","source","year","value"
"IT","no2","µg/m3","Milan","eea",2020,37.639108675423
"GR","no2","µg/m3","Athens","eea",2020,33.7343053895556
"FR","no2","µg/m3","Paris","eea",2020,30.6899624698072
"DE","no2","µg/m3","Munich","eea",2020,29.2348475229309
"PT","no2","µg/m3","Lisbon","eea",2020,27.8625231063143
"HU","no2","µg/m3","Budapest","eea",2020,27.8151840180867
"HR","no2","µg/m3","Zagreb","eea",2020,25.7001109357944
"DE","no2","µg/m3","Hamburg","eea",2020,25.6624235207154
"PL","no2","µg/m3","Warsaw","eea",2020,24.6466004598877
"CZ","no2","µg/m3","Prague","eea",2020,23.5485602538636
"BG","no2","µg/m3","Sofia","eea",2020,23.3279109855737
"CY","no2","µg/m3","Nicosia","eea",2020,23.2468683378166
"BE","no2","µg/m3","Brussels","eea",2020,22.4951830964461
"ES","no2","µg/m3","Madrid","eea",2020,22.4423139312654
"AT","no2","µg/m3","Vienna","eea",2020,21.3485820127028
"NL","no2","µg/m3","The Hague","eea",2020,21.3348171598697
"DE","no2","µg/m3","Berlin","eea",2020,21.1607073489104
"ES","no2","µg/m3","Barcelona","eea",2020,20.3942545359943
"SI","no2","µg/m3","Ljubljana","eea",2020,19.1333048749971
"SK","no2","µg/m3","Bratislava","eea",2020,19.1185629496946
"LV","no2","µg/m3","Riga","eea",2020,17.6068025464888
"DK","no2","µg/m3","Copenhagen","eea",2020,16.6530463575763
"LT","no2","µg/m3","Vilnius","eea",2020,16.3793480958688
"SE","no2","µg/m3","Stockholm","eea",2020,15.7096317827027
"IE","no2","µg/m3","Dublin","eea",2020,13.9881218663874
"FI","no2","µg/m3","Helsinki","eea",2020,12.133840442628
"EE","no2","µg/m3","Tallinn","eea",2020,9.14370774621296
