"country","poll","unit","location_name","source","year","value"
"GB","no2","µg/m3","Bradford","aurn",2020,34.9948364551737
"GB","no2","µg/m3","Luton","aurn",2020,30.4593853352514
"GB","no2","µg/m3","Worthing","aurn",2020,26.3747060207368
"GB","no2","µg/m3","Derby","aurn",2020,26.3006622822764
"GB","no2","µg/m3","Newcastle upon Tyne","aurn",2020,25.5591902686788
"GB","no2","µg/m3","Stoke on Trent","aurn",2020,25.443183265368
"GB","no2","µg/m3","Southampton","aurn",2020,25.3347946680193
"GB","no2","µg/m3","London","aurn",2020,25.2174165094806
"GB","no2","µg/m3","Sheffield","aurn",2020,23.2711791373835
"GB","no2","µg/m3","Leicester","aurn",2020,23.2503014771272
"GB","no2","µg/m3","Glasgow","aurn",2020,23.2021410828211
"GB","no2","µg/m3","Doncaster","aurn",2020,23.1960235517012
"GB","no2","µg/m3","Nottingham","aurn",2020,21.4315258708711
"GB","no2","µg/m3","Leeds","aurn",2020,20.6967509865645
"GB","no2","µg/m3","Manchester","aurn",2020,20.6693850888077
"GB","no2","µg/m3","Aberdeen","aurn",2020,20.5686064944258
"GB","no2","µg/m3","Kingston upon Hull","aurn",2020,19.5198813815092
"GB","no2","µg/m3","Oxford","aurn",2020,19.0546483180997
"GB","no2","µg/m3","Coventry","aurn",2020,19.0302444302176
"GB","no2","µg/m3","Edinburgh","aurn",2020,18.9429089666547
"GB","no2","µg/m3","Exeter","aurn",2020,18.8511969330235
"GB","no2","µg/m3","Birmingham","aurn",2020,18.4815002409768
"GB","no2","µg/m3","Preston","aurn",2020,18.073480053782
"GB","no2","µg/m3","Swansea","aurn",2020,17.7530496393826
"GB","no2","µg/m3","Wigan","aurn",2020,15.1280190153637
"GB","no2","µg/m3","Newport","aurn",2020,14.9820312011165
"GB","no2","µg/m3","Plymouth","aurn",2020,14.2819164982518
"GB","no2","µg/m3","Southend-on-Sea","aurn",2020,14.1074518099189
"GB","no2","µg/m3","Middlesbrough","aurn",2020,11.2472683844122
"GB","no2","µg/m3","Telford and Wrekin","aurn",2020,10.6412962717955
"GB","no2","µg/m3","Brighton and Hove","aurn",2020,10.623630900785
"GB","no2","µg/m3","Norwich","aurn",2020,9.84947778890712
"GB","no2","µg/m3","Swindon","aurn",2020,9.64496783099734
"GB","no2","µg/m3","Blackpool","aurn",2020,9.33885977027765
"GB","no2","µg/m3","Bournemouth","aurn",2020,9.29206992386816
"GB","no2","µg/m3","Dundee","aurn",2020,8.3518376001326
