"country","poll","unit","location_name","source","year","value"
"GB","no2","µg/m3","Southampton","aurn",2020,23.9125949257917
"GB","no2","µg/m3","Manchester","aurn",2020,23.4930336410589
"GB","no2","µg/m3","Newcastle upon Tyne","aurn",2020,22.7743143319032
"GB","no2","µg/m3","London","aurn",2020,21.4084887428386
"GB","no2","µg/m3","Leeds","aurn",2020,20.7653484130977
"GB","no2","µg/m3","Sheffield","aurn",2020,20.1675232458473
"GB","no2","µg/m3","Nottingham","aurn",2020,18.7805932744527
"GB","no2","µg/m3","Leicester","aurn",2020,18.626701203359
"GB","no2","µg/m3","Kingston upon Hull","aurn",2020,18.1423365409592
"GB","no2","µg/m3","Preston","aurn",2020,18.073480053782
"GB","no2","µg/m3","Stoke on Trent","aurn",2020,17.2518876138889
"GB","no2","µg/m3","Glasgow","aurn",2020,17.1110426504064
"GB","no2","µg/m3","Coventry","aurn",2020,15.4722948984025
"GB","no2","µg/m3","Wigan","aurn",2020,15.1280190153637
"GB","no2","µg/m3","Newport","aurn",2020,14.9820312011165
"GB","no2","µg/m3","Plymouth","aurn",2020,14.1748111002076
"GB","no2","µg/m3","Southend-on-Sea","aurn",2020,14.1074518099189
"GB","no2","µg/m3","Birmingham","aurn",2020,13.9947612077784
"GB","no2","µg/m3","Edinburgh","aurn",2020,13.4275305964079
"GB","no2","µg/m3","Aberdeen","aurn",2020,13.138234674616
"GB","no2","µg/m3","Telford and Wrekin","aurn",2020,10.6412962717955
"GB","no2","µg/m3","Brighton and Hove","aurn",2020,10.623630900785
"GB","no2","µg/m3","Oxford","aurn",2020,10.5283019666635
"GB","no2","µg/m3","Norwich","aurn",2020,9.84947778890712
"GB","no2","µg/m3","Swindon","aurn",2020,9.64496783099734
"GB","no2","µg/m3","Blackpool","aurn",2020,9.33885977027765
"GB","no2","µg/m3","Bournemouth","aurn",2020,9.29206992386816
"GB","no2","µg/m3","Dundee","aurn",2020,8.3518376001326
