"location_name","poll","source","country","type","value","value_pct"
"Dublin","no2","eea","IE","background",-0.306288874646648,"-31%"
"Paris","no2","eea","FR","background",-0.295685300236773,"-30%"
"Barcelona","no2","eea","ES","background",-0.282991764027799,"-28%"
"Bratislava","no2","eea","SK","background",-0.273072591326454,"-27%"
"Ljubljana","no2","eea","SI","background",-0.272557516805271,"-27%"
"Madrid","no2","eea","ES","background",-0.264569968558901,"-26%"
"Brussels","no2","eea","BE","background",-0.255722041692879,"-26%"
"Munich","no2","eea","DE","background",-0.221790895517854,"-22%"
"Vienna","no2","eea","AT","background",-0.21279242264593,"-21%"
"Berlin","no2","eea","DE","background",-0.187819415817272,"-19%"
"Stockholm","no2","eea","SE","background",-0.184471159991379,"-18%"
"Lisbon","no2","eea","PT","background",-0.175446980261263,"-18%"
"Prague","no2","eea","CZ","background",-0.172383573696175,"-17%"
"Athens","no2","eea","GR","background",-0.170292181323787,"-17%"
"Vilnius","no2","eea","LT","background",-0.169299716787401,"-17%"
"Milan","no2","eea","IT","background",-0.165972807928386,"-17%"
"Warsaw","no2","eea","PL","background",-0.161814756811016,"-16%"
"Helsinki","no2","eea","FI","background",-0.148062078353411,"-15%"
"Hamburg","no2","eea","DE","background",-0.130628835623272,"-13%"
"Riga","no2","eea","LV","background",-0.124369022183309,"-12%"
"The Hague","no2","eea","NL","background",-0.121063208562288,"-12%"
"Zagreb","no2","eea","HR","background",-0.100290750320501,"-10%"
"Copenhagen","no2","eea","DK","background",-0.0985723513250426,"-10%"
"Budapest","no2","eea","HU","background",-0.0387220010580605,"-4%"
"Tallinn","no2","eea","EE","background",-0.0172261977527279,"-2%"
"Sofia","no2","eea","BG","background",0.0128360138203496,"1%"
"Nicosia","no2","eea","CY","background",0.0248247128503163,"2%"
