"location_name","poll","source","country","type","value","value_pct"
"Glasgow","no2","aurn","GB","all",-0.317836300059051,"-32%"
"Stoke on Trent","no2","aurn","GB","all",-0.31037870534459,"-31%"
"Edinburgh","no2","aurn","GB","all",-0.283556479398724,"-28%"
"Exeter","no2","aurn","GB","all",-0.28166969739151,"-28%"
"London","no2","aurn","GB","all",-0.275084408026851,"-28%"
"Oxford","no2","aurn","GB","all",-0.271592925436109,"-27%"
"Nottingham","no2","aurn","GB","all",-0.266956928042284,"-27%"
"Leeds","no2","aurn","GB","all",-0.247535699973195,"-25%"
"Aberdeen","no2","aurn","GB","all",-0.245837912058212,"-25%"
"Derby","no2","aurn","GB","all",-0.236723202222937,"-24%"
"Birmingham","no2","aurn","GB","all",-0.234607618095864,"-23%"
"Manchester","no2","aurn","GB","all",-0.230702979514991,"-23%"
"Telford and Wrekin","no2","aurn","GB","all",-0.225627607696321,"-23%"
"Brighton and Hove","no2","aurn","GB","all",-0.223889278407893,"-22%"
"Plymouth","no2","aurn","GB","all",-0.216869027339639,"-22%"
"Luton","no2","aurn","GB","all",-0.216298869057051,"-22%"
"Coventry","no2","aurn","GB","all",-0.209299573670811,"-21%"
"Worthing","no2","aurn","GB","all",-0.205462485518834,"-21%"
"Swindon","no2","aurn","GB","all",-0.192771941779347,"-19%"
"Leicester","no2","aurn","GB","all",-0.19011678669228,"-19%"
"Swansea","no2","aurn","GB","all",-0.189667643274734,"-19%"
"Dundee","no2","aurn","GB","all",-0.187630147711979,"-19%"
"Newcastle upon Tyne","no2","aurn","GB","all",-0.184378314287206,"-18%"
"Southend-on-Sea","no2","aurn","GB","all",-0.183653577246493,"-18%"
"Norwich","no2","aurn","GB","all",-0.172228614098139,"-17%"
"Blackpool","no2","aurn","GB","all",-0.167123654183863,"-17%"
"Southampton","no2","aurn","GB","all",-0.161427048203874,"-16%"
"Middlesbrough","no2","aurn","GB","all",-0.156512668393245,"-16%"
"Sheffield","no2","aurn","GB","all",-0.150241600751198,"-15%"
"Bradford","no2","aurn","GB","all",-0.149602175290989,"-15%"
"Kingston upon Hull","no2","aurn","GB","all",-0.147592257896662,"-15%"
"Doncaster","no2","aurn","GB","all",-0.135999519933376,"-14%"
"Wigan","no2","aurn","GB","all",-0.104267159534876,"-10%"
"Newport","no2","aurn","GB","all",-0.10371693815715,"-10%"
"Preston","no2","aurn","GB","all",-0.0850247410048854,"-9%"
"Bournemouth","no2","aurn","GB","all",-0.0761985281371927,"-8%"
