"location_name","poll","source","country","type","value","value_pct"
"Nottingham","no2","aurn","GB","background",-0.287293850787134,"-29%"
"Stoke on Trent","no2","aurn","GB","background",-0.239837730328278,"-24%"
"Glasgow","no2","aurn","GB","background",-0.229204055281829,"-23%"
"Telford and Wrekin","no2","aurn","GB","background",-0.22628219147403,"-23%"
"Brighton and Hove","no2","aurn","GB","background",-0.224629207595283,"-22%"
"Leeds","no2","aurn","GB","background",-0.222100628104623,"-22%"
"Edinburgh","no2","aurn","GB","background",-0.221791674311237,"-22%"
"London","no2","aurn","GB","background",-0.216217511965903,"-22%"
"Plymouth","no2","aurn","GB","background",-0.208894153892059,"-21%"
"Newcastle upon Tyne","no2","aurn","GB","background",-0.202210458763083,"-20%"
"Coventry","no2","aurn","GB","background",-0.202090870914123,"-20%"
"Oxford","no2","aurn","GB","background",-0.196286580576445,"-20%"
"Manchester","no2","aurn","GB","background",-0.192691700560557,"-19%"
"Dundee","no2","aurn","GB","background",-0.187015715886993,"-19%"
"Swindon","no2","aurn","GB","background",-0.185859955979869,"-19%"
"Southend-on-Sea","no2","aurn","GB","background",-0.183269717805497,"-18%"
"Norwich","no2","aurn","GB","background",-0.172779865741467,"-17%"
"Blackpool","no2","aurn","GB","background",-0.166898518643038,"-17%"
"Birmingham","no2","aurn","GB","background",-0.159935857131042,"-16%"
"Leicester","no2","aurn","GB","background",-0.155097404383886,"-16%"
"Sheffield","no2","aurn","GB","background",-0.152302848126823,"-15%"
"Kingston upon Hull","no2","aurn","GB","background",-0.132513853789924,"-13%"
"Aberdeen","no2","aurn","GB","background",-0.129937293314628,"-13%"
"Southampton","no2","aurn","GB","background",-0.125494285291866,"-13%"
"Newport","no2","aurn","GB","background",-0.101693908141632,"-10%"
"Wigan","no2","aurn","GB","background",-0.100170777192507,"-10%"
"Preston","no2","aurn","GB","background",-0.0864109687044259,"-9%"
"Bournemouth","no2","aurn","GB","background",-0.0819968779356784,"-8%"
"Bradford","no2","aurn","GB","background",NA,NA
"Derby","no2","aurn","GB","background",NA,NA
"Doncaster","no2","aurn","GB","background",NA,NA
"Exeter","no2","aurn","GB","background",NA,NA
"Luton","no2","aurn","GB","background",NA,NA
"Middlesbrough","no2","aurn","GB","background",NA,NA
"Swansea","no2","aurn","GB","background",NA,NA
"Worthing","no2","aurn","GB","background",NA,NA
