"country","source","poll","unit","year","location_name","relative_pct","relative"
"FR","eea","no2","µg/m3",2020,"Paris","-33%",-0.333767521244163
"IE","eea","no2","µg/m3",2020,"Dublin","-33%",-0.331074466758069
"FI","eea","no2","µg/m3",2020,"Helsinki","-31%",-0.305786189797221
"NO","eea","no2","µg/m3",2020,"Oslo","-27%",-0.267170938502636
"ES","eea","no2","µg/m3",2020,"Barcelona","-25%",-0.245741935017339
"EE","eea","no2","µg/m3",2020,"Tallinn","-23%",-0.232354338086669
"SI","eea","no2","µg/m3",2020,"Ljubljana","-22%",-0.224907964947626
"HR","eea","no2","µg/m3",2020,"Zagreb","-22%",-0.218278440659032
"LV","eea","no2","µg/m3",2020,"Riga","-21%",-0.210847698128404
"IT","eea","no2","µg/m3",2020,"Rome","-21%",-0.210254829128704
"SE","eea","no2","µg/m3",2020,"Stockholm","-21%",-0.207194789956918
"ES","eea","no2","µg/m3",2020,"Madrid","-20%",-0.201926943261766
"PT","eea","no2","µg/m3",2020,"Lisbon","-20%",-0.19548872102988
"NL","eea","no2","µg/m3",2020,"The Hague","-19%",-0.188573805966527
"RO","eea","no2","µg/m3",2020,"Bucharest","-17%",-0.174456272751008
"PL","eea","no2","µg/m3",2020,"Warsaw","-17%",-0.169019540885648
"CZ","eea","no2","µg/m3",2020,"Prague","-17%",-0.165662710814547
"SK","eea","no2","µg/m3",2020,"Bratislava","-16%",-0.160844107542314
"LT","eea","no2","µg/m3",2020,"Vilnius","-16%",-0.158547005393711
"AT","eea","no2","µg/m3",2020,"Vienna","-16%",-0.155917308747093
"BE","eea","no2","µg/m3",2020,"Brussels","-15%",-0.154997306575322
"DE","eea","no2","µg/m3",2020,"Berlin","-15%",-0.153954211608317
"DE","eea","no2","µg/m3",2020,"Munich","-15%",-0.148962733652693
"DK","eea","no2","µg/m3",2020,"Copenhagen","-14%",-0.139693097049863
"CY","eea","no2","µg/m3",2020,"Nicosia","-12%",-0.11673806234341
"IT","eea","no2","µg/m3",2020,"Milan","-12%",-0.115413712955759
"HU","eea","no2","µg/m3",2020,"Budapest","-9%",-0.093649482441996
"GR","eea","no2","µg/m3",2020,"Athens","-7%",-0.0692102115741073
"DE","eea","no2","µg/m3",2020,"Hamburg","-6%",-0.0581135743652081
"BG","eea","no2","µg/m3",2020,"Sofia","-3%",-0.0333893569684374
