"country","source","poll","unit","year","location_name","relative_pct","relative"
"IE","eea","no2","µg/m3",2020,"Dublin","-35%",-0.350428200250445
"SE","eea","no2","µg/m3",2020,"Stockholm","-33%",-0.329014306094653
"FR","eea","no2","µg/m3",2020,"Paris","-30%",-0.300378096210924
"RO","eea","no2","µg/m3",2020,"Bucharest","-28%",-0.284275894341861
"FI","eea","no2","µg/m3",2020,"Helsinki","-27%",-0.270356779201142
"BE","eea","no2","µg/m3",2020,"Brussels","-24%",-0.238502659034289
"ES","eea","no2","µg/m3",2020,"Barcelona","-24%",-0.23840358675604
"CY","eea","no2","µg/m3",2020,"Nicosia","-23%",-0.225350720257329
"SI","eea","no2","µg/m3",2020,"Ljubljana","-22%",-0.224907964947626
"SK","eea","no2","µg/m3",2020,"Bratislava","-21%",-0.214291861476427
"LV","eea","no2","µg/m3",2020,"Riga","-21%",-0.210847698128404
"IT","eea","no2","µg/m3",2020,"Rome","-21%",-0.206962803125533
"ES","eea","no2","µg/m3",2020,"Madrid","-19%",-0.191123587290294
"EE","eea","no2","µg/m3",2020,"Tallinn","-18%",-0.184278402667996
"GR","eea","no2","µg/m3",2020,"Athens","-16%",-0.16022632052034
"NL","eea","no2","µg/m3",2020,"The Hague","-15%",-0.15256781238546
"CZ","eea","no2","µg/m3",2020,"Prague","-15%",-0.150589548200319
"AT","eea","no2","µg/m3",2020,"Vienna","-15%",-0.14709341928921
"DE","eea","no2","µg/m3",2020,"Berlin","-14%",-0.144005560406486
"DE","eea","no2","µg/m3",2020,"Munich","-13%",-0.12650850716949
"PT","eea","no2","µg/m3",2020,"Lisbon","-12%",-0.124253769118279
"HR","eea","no2","µg/m3",2020,"Zagreb","-12%",-0.12187676866668
"DE","eea","no2","µg/m3",2020,"Hamburg","-12%",-0.121870886620051
"IT","eea","no2","µg/m3",2020,"Milan","-12%",-0.119164902302888
"NO","eea","no2","µg/m3",2020,"Oslo","-10%",-0.104636380822875
"PL","eea","no2","µg/m3",2020,"Warsaw","-10%",-0.101818660939214
"LT","eea","no2","µg/m3",2020,"Vilnius","-9%",-0.0870916132621746
"BG","eea","no2","µg/m3",2020,"Sofia","-7%",-0.0734381321211757
"HU","eea","no2","µg/m3",2020,"Budapest","-7%",-0.0655807200387985
"DK","eea","no2","µg/m3",2020,"Copenhagen","3%",0.0276068848300032
