"city_name","type","station_id"
"Aberdeen","background","aurn_abd"
"Aberdeen","traffic","aurn_abd8"
"Aberdeen","traffic","aurn_abd7"
"Birmingham","background","aurn_bir1"
"Birmingham","background","aurn_agrn"
"Birmingham","background","aurn_bmld"
"Birmingham","traffic","aurn_birr"
"Blackpool","background","aurn_blc2"
"Bournemouth","background","aurn_born"
"Bradford","traffic","aurn_bdma"
"Brighton and Hove","background","aurn_brt3"
"Coventry","background","aurn_coal"
"Coventry","traffic","aurn_cobr"
"Derby","traffic","aurn_desa"
"Doncaster","traffic","aurn_dcst"
"Dundee","background","aurn_dcc1"
"Edinburgh","background","aurn_ed3"
"Edinburgh","traffic","aurn_edns"
"Exeter","traffic","aurn_ex"
"Glasgow","background","aurn_glkp"
"Glasgow","traffic","aurn_ghsr"
"Glasgow","traffic","aurn_ggwr"
"Glasgow","traffic","aurn_gla4"
"Kingston upon Hull","background","aurn_hul2"
"Kingston upon Hull","traffic","aurn_hulr"
"Leeds","background","aurn_leed"
"Leeds","traffic","aurn_led6"
"Leicester","background","aurn_lecu"
"Leicester","traffic","aurn_leir"
"London","background","aurn_ted2"
"London","background","aurn_kc1"
"London","background","aurn_bex"
"London","background","aurn_hp1"
"London","background","aurn_cll2"
"London","background","aurn_hr3"
"London","background","aurn_lon6"
"London","background","aurn_hil"
"London","background","aurn_hors"
"London","background","aurn_hg4"
"London","industrial","aurn_hrl"
"London","traffic","aurn_th2"
"London","traffic","aurn_my1"
"London","traffic","aurn_sk5"
"London","traffic","aurn_hg1"
"London","traffic","aurn_ea8"
"London","traffic","aurn_ca1"
"Luton","traffic","aurn_lutr"
"Manchester","background","aurn_man3"
"Manchester","background","aurn_eccl"
"Manchester","industrial","aurn_mahg"
"Manchester","traffic","aurn_cw"
"Manchester","traffic","aurn_burw"
"Middlesbrough","industrial","aurn_mid"
"Newcastle upon Tyne","background","aurn_newc"
"Newcastle upon Tyne","traffic","aurn_nca3"
"Newport","background","aurn_npt3"
"Norwich","background","aurn_no12"
"Nottingham","background","aurn_nott"
"Nottingham","traffic","aurn_nwbv"
"Oxford","background","aurn_ox8"
"Oxford","traffic","aurn_ox"
"Plymouth","background","aurn_plym"
"Plymouth","traffic","aurn_plyr"
"Preston","background","aurn_pres"
"Sheffield","background","aurn_she"
"Sheffield","background","aurn_shdg"
"Sheffield","traffic","aurn_shbr"
"Southampton","background","aurn_sout"
"Southampton","traffic","aurn_sa33"
"Southend-on-Sea","background","aurn_send"
"Stoke on Trent","background","aurn_stok"
"Stoke on Trent","traffic","aurn_stkr"
"Swansea","traffic","aurn_swa1"
"Swindon","background","aurn_swho"
"Telford and Wrekin","background","aurn_tdhd"
"Wigan","background","aurn_wig5"
"Worthing","traffic","aurn_wthg"
