"location_id","location_name","process_id","date","poll","unit","source","country","frequency","aggregation_function","threshold","exceedance_allowed_per_year","organization","standard_id","value","exceedance","year","exceedance_this_year","violation","gadm1_id"
"stoke on trent_gbr.1_1_gb","Stoke on Trent","city_day_mad",2019-01-03,"pm10","µg/m3","aurn","GB","24-hour","mean",50,0,"WHO",13,56.482375,1,2019,1,TRUE,"gbr.1_1"
"stoke on trent_gbr.1_1_gb","Stoke on Trent","city_day_mad",2019-01-03,"pm10","µg/m3","aurn","GB","24-hour","mean",50,35,"UK",31,56.482375,1,2019,1,FALSE,"gbr.1_1"
"birmingham_gbr.1_1_gb","Birmingham","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.4708333333333,1,2019,1,TRUE,"gbr.1_1"
"birmingham_gbr.1_1_gb","Birmingham","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,28.0757638888889,1,2019,2,TRUE,"gbr.1_1"
"bristol_gbr.1_1_gb","Bristol","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.7,1,2019,1,TRUE,"gbr.1_1"
"bristol_gbr.1_1_gb","Bristol","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.7,1,2019,2,TRUE,"gbr.1_1"
"central bedfordshire_gbr.1_1_gb","Central Bedfordshire","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,34.5875,1,2019,1,TRUE,"gbr.1_1"
"christchurch_gbr.1_1_gb","Christchurch","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.1666666666667,1,2019,1,TRUE,"gbr.1_1"
"coventry_gbr.1_1_gb","Coventry","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,28.6875,1,2019,1,TRUE,"gbr.1_1"
"coventry_gbr.1_1_gb","Coventry","city_day_mad",2019-01-04,"pm10","µg/m3","aurn","GB","24-hour","mean",50,0,"WHO",13,50.8060416666667,1,2019,1,TRUE,"gbr.1_1"
"coventry_gbr.1_1_gb","Coventry","city_day_mad",2019-01-04,"pm10","µg/m3","aurn","GB","24-hour","mean",50,35,"UK",31,50.8060416666667,1,2019,1,FALSE,"gbr.1_1"
"coventry_gbr.1_1_gb","Coventry","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,28.6875,1,2019,2,TRUE,"gbr.1_1"
"eastbourne_gbr.1_1_gb","Eastbourne","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,32.0166666666667,1,2019,1,TRUE,"gbr.1_1"
"eastbourne_gbr.1_1_gb","Eastbourne","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,32.0166666666667,1,2019,2,TRUE,"gbr.1_1"
"leeds_gbr.1_1_gb","Leeds","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.8791666666667,1,2019,1,TRUE,"gbr.1_1"
"leeds_gbr.1_1_gb","Leeds","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.9520833333333,1,2019,2,TRUE,"gbr.1_1"
"leicester_gbr.1_1_gb","Leicester","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,34.1958333333333,1,2019,1,TRUE,"gbr.1_1"
"leicester_gbr.1_1_gb","Leicester","city_day_mad",2019-01-04,"pm10","µg/m3","aurn","GB","24-hour","mean",50,0,"WHO",13,59.542125,1,2019,1,TRUE,"gbr.1_1"
"leicester_gbr.1_1_gb","Leicester","city_day_mad",2019-01-04,"pm10","µg/m3","aurn","GB","24-hour","mean",50,35,"UK",31,59.542125,1,2019,1,FALSE,"gbr.1_1"
"leicester_gbr.1_1_gb","Leicester","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,34.1958333333333,1,2019,2,TRUE,"gbr.1_1"
"liverpool_gbr.1_1_gb","Liverpool","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,26.3333333333333,1,2019,1,TRUE,"gbr.1_1"
"manchester_gbr.1_1_gb","Manchester","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,30.779125,1,2019,1,TRUE,"gbr.1_1"
"manchester_gbr.1_1_gb","Manchester","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,30.779125,1,2019,2,TRUE,"gbr.1_1"
"medway_gbr.1_1_gb","Medway","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.3739791666667,1,2019,1,TRUE,"gbr.1_1"
"northampton_gbr.1_1_gb","Northampton","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,32.0416666666667,1,2019,1,TRUE,"gbr.1_1"
"northampton_gbr.1_1_gb","Northampton","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,32.0416666666667,1,2019,2,TRUE,"gbr.1_1"
"nottingham_gbr.1_1_gb","Nottingham","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.6,1,2019,1,TRUE,"gbr.1_1"
"nottingham_gbr.1_1_gb","Nottingham","city_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.6,1,2019,2,TRUE,"gbr.1_1"
"preston_gbr.1_1_gb","Preston","city_background_day_mad",2019-01-04,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.4166666666667,1,2019,1,TRUE,"gbr.1_1"
